iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
22209,125.73612213,45.48588943,0.0474261,12.08343,11.3765,12.95766,11.49654,1,,,,,202.6431,1
27212,126.5181427,45.96754074,0.0076549,9.8438,9.82145,11.37359,9.21084,1,,,,,31.6552,1
23112,126.18686676,46.90734863,0.0404536,11.73223,11.22691,12.66878,10.88729,1,,,,,171.8546,1
21389,126.37095642,47.13335037,0.129497,15.94987,12.3565,14.88648,12.28725,1,,,,,593.223,1
30779,124.94394684,46.12083817,0.0548244,12.34657,11.39878,13.16701,11.50691,1,,,,,235.7011,1
25358,127.00932312,47.28424072,0.0401733,11.65478,11.15775,12.60004,,0,,,,,170.6244,1
28495,127.25743103,47.80062103,0.0457134,12.00657,11.35264,12.89482,11.39488,1,,,,,195.0476,1
16651,127.45954895,48.78107834,0.0245031,11.03055,10.86598,12.1366,,0,,,,,102.7338,1
25214,124.49668884,47.38779068,0.0541995,12.39911,11.4725,13.21782,,0,,,,,232.8934,1
7903,123.6669693,49.06143951,0.002288,9.22901,9.22901,10.99527,,0,,,,,9.4201,1
17876,124.55671692,49.2507515,0.0437362,11.90072,11.30278,12.80688,,0,,,,,186.3059,1
28758,119.93618774,45.3661499,0.0167079,10.43037,10.35751,11.71424,10.28931,1,,,,,69.6047,1
19208,119.18447876,45.87697983,0.0550728,12.83481,11.8787,14.11164,11.72318,1,11.434,1207.9579,26.6941,0.007189,236.8183,2
3921,119.97679901,47.41310883,0.0227112,11.33878,11.20002,12.4087,11.15412,1,,,,,95.0811,1
27876,117.73413849,48.3127594,0.0219222,10.765,10.63634,11.93637,10.58707,1,,,,,91.7181,1
19725,116.60375214,48.33364868,0.0221293,10.86569,10.73447,12.01486,10.47591,1,,,,,92.6004,1
23387,116.52297974,48.84786987,0.0331338,11.3312,11.00997,12.34749,11.22356,1,,,,,139.9099,1
7817,119.25791931,49.56729126,0.0120852,10.61124,10.56661,11.8654,9.93302,1,,,,,50.1566,1
5183,118.71040344,50.03879929,0.0238757,11.50362,11.34827,13.04154,10.99128,1,11.8878,672.434,244.9128,0.147029,100.0517,2
24807,117.96618652,49.81433105,0.024767,10.9957,10.82756,12.10641,10.28595,1,,,,,103.8626,1
1665,117.82807922,50.23551178,0.0218758,11.97533,11.8474,13.68487,11.60378,4,11.617,489.9362,247.2986,0.161666,91.5209,6
30986,117.46838379,50.77125168,0.0215729,10.71581,10.59153,11.90006,10.78985,1,,,,,90.231,1
3032,121.83435822,51.1316185,0.017939,11.18353,11.0995,12.29968,11.22813,1,,,,,74.8087,1
2846,120.47173309,50.73709869,0.0020879,9.47654,9.47654,11.06437,8.67419,1,,,,,8.5951,1
16263,119.10935211,51.27600861,0.0559256,12.61684,11.63348,13.40863,11.70115,1,,,,,240.6564,1
7750,118.39163971,51.78013992,0.0226635,11.20233,11.06413,12.29107,11.18584,1,,,,,94.8776,1
21634,119.38076782,52.68286133,0.0413615,11.86909,11.33866,12.78915,11.45739,1,,,,,175.8436,1
16374,119.60189819,52.76848984,0.0233632,10.96887,10.82076,12.09184,9.60191,1,,,,,97.8629,1
1679,119.50180817,52.86175156,0.0189837,11.45471,11.36066,12.53016,,0,,,,,79.233,1
3481,121.0284729,53.54922867,0.0328783,11.91143,11.59597,12.86976,,0,,,,,138.8018,1
23810,101.98996735,31.62838936,0.0428012,11.83977,11.26933,12.75554,,0,,,,,182.1816,1
