iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
20779,10176,"    02532016+1157371",43.33393097,11.96039009,0.0248057,
40820,10176,"    02532465+1212041",43.35266876,12.20118046,0.0249893,
30011,21814,"    02484863+1201148",42.20262909,12.02068996,0.0199217,
3272,658,"    02535024+1250568",43.45936966,12.8492403,0.0111901,
966,658,"    02534134+1300508",43.42226028,13.01414967,0.0114296,
27958,20329,"    02592430+1234507",44.85129166,12.58080959,0.0255683,
13260,9645,"    02585781+1334583",44.74087906,13.5828104,0.073586,
14530,10553,"    03123300+1223043",48.13748932,12.38455963,0.0322646,
16906,12271,"    03082187+1240493",47.09106064,12.68033028,0.024207,
28796,20931,"    03095193+1317572",47.46640015,13.29916,0.0114033,
25689,18686,"    03190321+1347440",49.76337814,13.79555035,0.0333796,
22376,15189,"    03164259+1444151",49.17747879,14.73750019,0.0376829,
20886,15189,"    03170909+1453193",49.28792953,14.88869953,0.0394352,
28143,20461,"    03163058+1527499",49.12755966,15.46393967,0.0388453,
29152,21179,"    03170445+1529043",49.26858902,15.48451996,0.0152294,
30818,20461,"    03160388+1535161",49.01610947,15.58784962,0.03915,
21679,15772,"    03120686+1550412",48.0286293,15.8448,0.0323478,
27001,5040,"    03094641+1559272",47.44335175,15.99094009,0.0324809,
6940,5040,"    03092430+1606561",47.35128021,16.11551094,0.0323025,
13364,5040,"    03095570+1601432",47.48212814,16.02866936,0.0309579,
31256,22700,"    03123634+1636153",48.1515007,16.60429955,0.0411183,
36125,26221,"    03105990+1647172",47.74956131,16.78812027,0.0154894,
15888,11533,"    02500884+1250372",42.53688049,12.84364033,0.0335713,
42080,30519,"    02525482+1303551",43.22838974,13.06534958,0.0412484,
28142,20460,"    02525187+1315231",43.21612167,13.25640965,0.0320388,
18932,5067,"    02495068+1308434",42.46113968,13.14535999,0.0298221,
8937,6508,"    02511308+1311068",42.80463028,13.1853199,0.0247064,
21792,5067,"    02502539+1315584",42.60575104,13.26622963,0.0278839,
9093,6508,"    02503567+1320063",42.64870071,13.33506012,0.0247037,
13394,5067,"    02490037+1313257",42.25154114,13.22375965,0.0272245,
26848,19519,"    02515998+1331169",42.99996948,13.52134037,0.0334988,
34805,19519,"    02513093+1334298",42.87889099,13.57495975,0.0327832,
6654,4831,"    02461748+1305443",41.57289124,13.09568024,0.0211347,
43095,5067,"    02483933+1315339",42.16392136,13.25946045,0.0293203,
6977,5067,"    02474359+1315189",41.93157959,13.25533009,0.028943,
40336,5067,"    02490431+1326347",42.26794815,13.44289017,0.0280183,
15982,11603,"    02481606+1322453",42.06690979,13.37924957,0.0714478,
36826,26739,"    02482201+1356062",42.09173965,13.93502998,0.0441533,
30010,18476,"    02483577+1415550",42.14902115,14.26525021,0.0248654,
25394,18476,"    02484184+1418489",42.17432022,14.31354046,0.0234121,
11550,8421,"    02540071+1336438",43.50289154,13.61213017,0.0322135,
